agent,config_id,n_queries,faithfulness,answer_relevancy,context_precision,context_recall,correctness,quality
A_dispatcher,llama3.2-3b__Q4_K_M__c4096,27,,,,,,0.6746
A_dispatcher,llama3.2-3b__Q4_K_M__c8192,27,,,,,,0.6746
A_dispatcher,llama3.2-3b__Q8_0__c4096,27,,,,,,0.8235
A_dispatcher,llama3.2-3b__Q8_0__c8192,27,,,,,,0.8235
A_dispatcher,qwen2.5-0_5b__Q4_K_M__c4096,27,,,,,,0.4983
A_dispatcher,qwen2.5-0_5b__Q4_K_M__c8192,27,,,,,,0.4983
A_dispatcher,qwen2.5-0_5b__Q8_0__c4096,27,,,,,,0.4647
A_dispatcher,qwen2.5-0_5b__Q8_0__c8192,27,,,,,,0.4647
A_dispatcher,qwen2.5-1_5b__Q4_K_M__c4096,27,,,,,,0.6407
A_dispatcher,qwen2.5-1_5b__Q4_K_M__c8192,27,,,,,,0.6407
A_dispatcher,qwen2.5-1_5b__Q8_0__c4096,27,,,,,,0.6386
A_dispatcher,qwen2.5-1_5b__Q8_0__c8192,27,,,,,,0.6386
A_dispatcher,qwen2.5-3b__Q4_K_M__c4096,27,,,,,,0.6960
A_dispatcher,qwen2.5-3b__Q4_K_M__c8192,27,,,,,,0.6960
A_dispatcher,qwen2.5-3b__Q8_0__c4096,27,,,,,,0.8295
A_dispatcher,qwen2.5-3b__Q8_0__c8192,27,,,,,,0.8295
A_dispatcher,qwen2.5-7b__Q4_K_M__c4096,27,,,,,,0.8723
A_dispatcher,qwen2.5-7b__Q4_K_M__c8192,27,,,,,,0.8723
A_dispatcher,qwen2.5-7b__Q8_0__c4096,27,,,,,,0.8351
A_dispatcher,qwen2.5-7b__Q8_0__c8192,27,,,,,,0.8351
A_negoziazione_assistita_e_mediazione_familiare,llama3.2-3b__Q4_K_M__c4096,1,0.8470,0.7470,0.6970,0.6770,0.6470,0.7220
A_negoziazione_assistita_e_mediazione_familiare,llama3.2-3b__Q4_K_M__c8192,1,0.8470,0.7470,0.6970,0.6770,0.6470,0.7220
A_negoziazione_assistita_e_mediazione_familiare,llama3.2-3b__Q8_0__c4096,1,0.8570,0.7770,0.7270,0.7070,0.6770,0.7470
A_negoziazione_assistita_e_mediazione_familiare,llama3.2-3b__Q8_0__c8192,1,0.8570,0.7770,0.7270,0.7070,0.6770,0.7470
A_negoziazione_assistita_e_mediazione_familiare,qwen2.5-0_5b__Q4_K_M__c4096,1,0.5975,0.4875,0.4375,0.4175,0.3875,0.4650
A_negoziazione_assistita_e_mediazione_familiare,qwen2.5-0_5b__Q4_K_M__c8192,1,0.5975,0.4875,0.4375,0.4175,0.3875,0.4650
A_negoziazione_assistita_e_mediazione_familiare,qwen2.5-0_5b__Q8_0__c4096,1,0.6075,0.5175,0.4675,0.4475,0.4175,0.4900
