query_id,context_precision,context_recall
GS001::A_succ_testamentaria,0.6000,0.4286
GS001::A_synth,0.6000,0.4286
GS002::A_succ_testamentaria,0.4000,0.4000
GS002::A_synth,0.4000,0.4000
GS003::A_succ_testamentaria,1.0000,0.7143
GS003::A_synth,1.0000,0.7143
GS004::A_succ_legittima,0.2000,0.1667
GS004::A_succ_testamentaria,0.2000,0.1667
GS004::A_synth,0.2000,0.1667
GS005::A_succ_legittima,0.4000,0.2222
GS005::A_succ_testamentaria,0.4000,0.2222
GS005::A_synth,0.4000,0.2222
GS005::A_tutela_minori,0.4000,0.2222
GS006::A_succ_testamentaria,1.0000,0.8333
GS006::A_synth,1.0000,0.8333
GS007::A_succ_legittima,1.0000,0.6250
GS007::A_succ_testamentaria,1.0000,0.6250
GS007::A_synth,1.0000,0.6250
GS008::A_succ_testamentaria,1.0000,0.6250
GS008::A_synth,1.0000,0.6250
GS009::A_succ_legittima,0.8000,0.4444
GS009::A_synth,0.8000,0.4444
GS010::A_succ_legittima,1.0000,0.8333
GS010::A_synth,1.0000,0.8333
GS011::A_succ_legittima,1.0000,0.7143
GS011::A_synth,1.0000,0.7143
GS012::A_succ_legittima,0.6000,0.3750
GS012::A_synth,0.6000,0.3750
GS012::A_volontaria_giurisdizione,0.6000,0.3750
GS013::A_succ_legittima,1.0000,0.5556
GS013::A_synth,1.0000,0.5556
GS013::A_volontaria_giurisdizione,1.0000,0.5556
GS014::A_patrimoniale_comunione,1.0000,0.5556
GS014::A_succ_legittima,1.0000,0.5556
GS014::A_synth,1.0000,0.5556
GS015::A_succ_legittima,1.0000,0.6250
GS015::A_synth,1.0000,0.6250
NEW_STRESS_001::A_patrimoniale_comunione,0.8000,0.4444
NEW_STRESS_001::A_separazione_contenziosa,0.8000,0.4444
NEW_STRESS_001::A_succ_legittima,0.8000,0.4444
NEW_STRESS_001::A_synth,0.8000,0.4444
NEW_STRESS_001::A_tutela_minori,0.8000,0.4444
NEW_STRESS_001::A_volontaria_giurisdizione,0.8000,0.4444
NEW_STRESS_002::A_negoziazione_assistita_e_mediazione_familiare,0.8000,0.4444
NEW_STRESS_002::A_succ_legittima,0.8000,0.4444
NEW_STRESS_002::A_succ_testamentaria,0.8000,0.4444
NEW_STRESS_002::A_synth,0.8000,0.4444
NEW_STRESS_003::A_patrimoniale_comunione,0.8000,0.4444
NEW_STRESS_003::A_succ_legittima,0.8000,0.4444
NEW_STRESS_003::A_synth,0.8000,0.4444
NEW_STRESS_003::A_tutela_minori,0.8000,0.4444
NEW_STRESS_003::A_volontaria_giurisdizione,0.8000,0.4444
NEW_STRESS_004::A_patrimoniale_separazione,1.0000,0.5556
NEW_STRESS_004::A_separazione_contenziosa,1.0000,0.5556
NEW_STRESS_004::A_succ_legittima,1.0000,0.5556
NEW_STRESS_004::A_succ_testamentaria,1.0000,0.5556
NEW_STRESS_004::A_synth,1.0000,0.5556
NEW_STRESS_005::A_negoziazione_assistita_e_mediazione_familiare,0.4000,0.2500
NEW_STRESS_005::A_separazione_consensuale,0.4000,0.2500
NEW_STRESS_005::A_succ_legittima,0.4000,0.2500
NEW_STRESS_005::A_synth,0.4000,0.2500
NEW_STRESS_005::A_tutela_minori,0.4000,0.2500
NEW_STRESS_005::A_volontaria_giurisdizione,0.4000,0.2500
NEW_STRESS_006::A_patrimoniale_comunione,1.0000,0.5556
NEW_STRESS_006::A_patrimoniale_separazione,1.0000,0.5556
NEW_STRESS_006::A_succ_legittima,1.0000,0.5556
NEW_STRESS_006::A_succ_testamentaria,1.0000,0.5556
NEW_STRESS_006::A_synth,1.0000,0.5556
NEW_STRESS_007::A_negoziazione_assistita_e_mediazione_familiare,0.8000,0.5000
NEW_STRESS_007::A_separazione_consensuale,0.8000,0.5000
NEW_STRESS_007::A_separazione_contenziosa,0.8000,0.5000
NEW_STRESS_007::A_succ_legittima,0.8000,0.5000
NEW_STRESS_007::A_synth,0.8000,0.5000
NEW_STRESS_007::A_tutela_minori,0.8000,0.5000
NEW_STRESS_007::A_volontaria_giurisdizione,0.8000,0.5000
NEW_STRESS_008::A_succ_legittima,0.8000,0.4444
NEW_STRESS_008::A_succ_testamentaria,0.8000,0.4444
NEW_STRESS_008::A_synth,0.8000,0.4444
NEW_STRESS_008::A_tutela_minori,0.8000,0.4444
NEW_STRESS_008::A_volontaria_giurisdizione,0.8000,0.4444
NEW_STRESS_009::A_negoziazione_assistita_e_mediazione_familiare,1.0000,0.6250
NEW_STRESS_009::A_separazione_consensuale,1.0000,0.6250
NEW_STRESS_009::A_succ_legittima,1.0000,0.6250
NEW_STRESS_009::A_succ_testamentaria,1.0000,0.6250
NEW_STRESS_009::A_synth,1.0000,0.6250
NEW_STRESS_009::A_tutela_minori,1.0000,0.6250
NEW_STRESS_010::A_negoziazione_assistita_e_mediazione_familiare,1.0000,0.5556
NEW_STRESS_010::A_patrimoniale_comunione,1.0000,0.5556
NEW_STRESS_010::A_succ_legittima,1.0000,0.5556
NEW_STRESS_010::A_synth,1.0000,0.5556
NEW_STRESS_010::A_tutela_minori,1.0000,0.5556
NEW_STRESS_010::A_volontaria_giurisdizione,1.0000,0.5556
min_001,,
neg_001,,
pat_c_001,,
pat_s_001,,
sep_c_001,,
sep_x_001,,
succ_l_001,,
succ_l_002,,
succ_t_001,,
vg_001,,
